text,labels
"Mama mi kaže: Šašavo moje, šta se to zbiva u tvojoj glavi? U njoj dečaci, kažem, postoje, dečaci smeđi, crni i plavi. Mama mi kaže: Šašavo moje, zar mogu tamo svi da se slože? Ja mami kažem: Kad već postoje, nek tu i stoje – šta se može! Mama mi kaže: pusti priče – zbijeni tako na šta liče? Ja rukom mahnemi uzdahnem: Svi oni liče, svi mnogo liče na nešto lepo kao iz priče. Na sve što čekam. Na sve što hoću. Liče na nemir i na samoću. Mama mi kaže: Šašavo moje, pa oni, znači, ne postoje! Postoje, kažem, kao na javi, dečaci smeđi, crni i plavi. Šta da se radi? mama veli. Ja kažem: ništa, već da se želi da nikad čekanje ne izbledi. Mama me pita: a da l to vredi? A ja se smeškam: videćeš – vredi! ","Ljubavna poezija"
"…tužna vila nije sjena puka“ Tin Tvoje je srce uzrok dana i noći Vreme slično suncu dubokom i prazni Zabranjeni slavuji slavni al bez noći Tvoje je srce uzrok dana i noći Da sve što prođe vrati se po kazni Tužna posestrimo čemera i bune Pelen je jedini lek i gorka nega Srcu još gorčem što se tobom kune Tužna posestrimo čemera i bune Jetkih mudraca s izmišljena brega Tvoje je srce u drugima ti samo pevaš I tvoja ih praznina sve više očarava Oproštena im oporost dosneva Tvoje je srce u drugima dok pevaš O iskri iskrenoj koja ojačava U taštom predelu kome odolevaš ","Misaono - refleksivna poezija"
"S kime sam zanijela, neću vam reći, Ma umrla ovog trena Vi pljujete na pod: gledaj te kurve! A ipak sam čestita žena. S kime se ljubim, neću vam reći. Drag mi je, divan je za me, Nosi li zlatan lanac o vratu Ili samo šešir od slame. Pa ako već mora biti sramote, Ponijet ću sama sve jade. Ja njega znam, on mene zna, A bog nas oboje znade. Mira mi dajte, gospodine suče! Jednako, župniče i vi! Dijete je moje i ostat će moje, Od mojih će ruku da živi! ","Ljubavna poezija"
"Momak ide vragolan, Po gori se širi, Lep je ka’no lepi dan Što kroz goru viri. A sa gore, kraj potoka, Stazica se dala, Jedna moma milooka Tu je rublje prala. Al’ kad smotri vragolana, Povikala seka: “Oj, stazice, oj, tanana, Dones’ ga meneka!” Viknu moma, pa ti brže Za žbun jedan zađe, A momak se čisto trže I čudo da snađe: “Jao mene, i do sada Šetah ja po gore, Ali ne čuh još nikada Da slavuji zbore!” Tako reče momak tuna, Pa s’ mlađan zahuja Da on vidi iza žbuna Tog čudnog slavuja. Al’ i moma iz zasede Poskočila oma – Beži, sele, eto bede – Beži majci doma! Beži moma, manu rublje… Beži l’ domu svome? – Sve u goru beži dublje, A momak za njome. Beži moma, do kolena None joj se bele – Bele none do kolena Momka su zanele: “Ta da imaš krilo lako Da prhneš oblaku, Ne bi mene, čedo, jako Utekla junaku!” Pa se, mlađan, za njom stisnu, Dohvati je sade: “Jao mene!” – ona vrisnu, Pa pod lipu pade. O, da čudna valjuškanja Po zelenoj travi, O, da čudna ljuljuškanja Da t’ podiđu mravi! Laki vetrić osme’nu se, Listak liska dirnu, Beli danak pokrenu se Pa kroz lipu virnu. Lipa brsne grane širi, Šapće danu sjajnu: “Viri, dane sjajni, viri, Ali čuvaj tajnu!” ","Ljubavna poezija"
"“Dođi k nama, mladiću, reci nam po istini: odakle ova ludost u očima tvojima?” “Ne znam kakva sam se vina od divljega maka ponapio pa mi je ludost ova u očima.” “Ah, sram te bilo!” “Pa, neki su mudri, neki glupaci; neki su oprezni, a neki nehajni. Ima očiju koje se smiješe, ima očiju koje plaču – a ludost je ova u mojim očima.” “Mladiću, zašto tako nepomično stojiš u sjeni drveta?” “Noge moje otečaše od bremena mojega srca, pa nepomičan u sjeni stojim.” “Ah, sram te bilo!” “Pa, neki stupaju svojim putem, neki su slobodni, neki okovani – a noge moje otečaše od bremena mojega srca.” ","Ljubavna poezija"
"O, nestašna i draga djevojko, Kaži meni, što sam ti skrivio Da me stavljaš na muke goleme, Da zadanu riječ svoju kršiš? Sinoć si mi prijazno stiskala Ruke, milo šaputala riječi: Da, doći ću, sigurno ću doći, Predjutro, u tvoju sobu, dragi. Pritvorena ostadoše vrata, Kada dobro preispitah šarke, Sav radostan što nisu škripale. Kakva li je noć čekanja prošla! Bdijah brojeć svaku četvrt sata; Ako i zaspah na koji trenutak Srce osta budno bez prestanka, Budilo me iz lakog drijemeža. Kako tada blagoslivah tmine Koje tako mirno sve zastiru. Veselih se sveopćoj tišini. U tišini slušah, prisluškujuć, Neće li se koji glas pokrenut. «Da su njene misli kao moje, Da osjeća kao što ja ćutim, Ne bi ona do jutra čekala, Već bi došla ovoga trenutka.» Ako mačka skoči na tavanu, Ako miš u uglu zašušketa, Makne li se bilo što u kući, Ponadam se da tvoj korak čujem, Uvijek mislim da tvoj stupaj čujem . ležao sam tako dugo, dugo, Pa već i dan zače da se rudi, Stade žamor na četiri strane. «Jesu l’ njena vrata? Da su moja!» Podnimljen, u krevetu svom sjedim, Gledam vrata poluosvijetljena, Neće li se ipak pomaknuti. Oba krila stoje pritvorena, Mirno vise na tihim šarkama. A dan posta svjetliji i veći. Čuh već škripu vrata susjedovih Koji žuri zaslužit nadnicu; Čuh uskoro zatim štropot kola. Već se i vrata grada otvoriše: Raste metež nemirnoga sajma. U kući je odlaz i dolazak Uza stube i niz njih, katkada Škrinu vrata, koraci zatutnje; A ja kao od lijepog života Još ne mogu rastat se od nade. Najzad, kada omrznulo sunce Obasja mi prozore, zidove, Skočih i požurih prema vrtu Da svoj topli dah, prepun čeznuća, Pomiješam sa svježim zrakom jutra, Da u vrtu možda sretnem tebe. Ali tebe nema u sjenici, Ni u starom drvoredu lipa. ","Ljubavna poezija"
"Nećemo više tako kasno Lutat u noćni sat, Premda će grud još ljubit strasno I mjesec jednak sjat, Jer korice mač troši jak, A duša troši grudi, Predah i srcu treba čak, I ljubav odmor žudi. Noć je za ljubav doba strasno, Al’ brzo dan stić’ zna, nećemo više tako kasno Dok blistav mjesec sja. ","Ljubavna poezija"
"Žao mi je vas, o vi jadne zvezde, Što tako divno i jasno sijate, Nevoljenome svetleći brodaru, Bez nagrade od boga a i ljudi, Ne znate, bedne, šta reč ljubav znači, Niti ste za njen osećaj saznale! Bez prekida vas vode večni sati Nebesima povorke vaše sjajne. O, kakve li ste prevalile pute, Dok srećan bejah u naručju drage, Ne misleći na vas ni na vedru noć! ","Ljubavna poezija"
"Mislim na tebe kad se od sunca zapali pučina sva, Mislim na tebe kad mesec ustreptali kladencem tka. Vidim te kad na putu dalekom spazim uzvitlan prah, sred noći, kad čoveka na uskoj stazi obuzme strah. Čujem te kad se sve more uskoleba uz mukli huk. Slušam u lugu kad ispod celog neba zavlada muk. Ti si uz mene,bliskošću svojom rasplinu daljinu svu! Zalazi sunce,skoro će zvezde da sinu. O, da si tu ! ","Ljubavna poezija"
"Vi venete, slatke ruže, ne nosi vas draga sad, vaj, cvetajte nesrećniku kome dušu lomi jad. Ja se setan sećam dana kad sam bio sasvim tvoj, i rad prvih pupoljaka zorom hito u vrt svoj, I pred tvoje noge baco puno cveća, čitav žbun, a pred tvojim ljupkim licem osećo se nade pun. Vi venete, slatke ruže, ne nosi vas draga sad, vaj, cvetajte nesrećniku kome dušu lomi jad. ","Ljubavna poezija"
"Na konja! srce burno reče; poleteh skoro isti tren. Ljuljuškaše već zemlju veče, gorom se plela noćna sen; ramena hrasta-ispolina već zaogrnu maglen skut, iz žbunja gledaše me tmina stotinom očiju uz put. Mesec se mutni tužno njih’o zasevši na oblačka hum, mahaše vetar krilom tiho, stravičan slušah njegov šum; noć čudovišta bezbroj stvori, al’ bodra radost svlada strah: o, kakvom vatrom krv mi gori! U srcu kakav oganj plah! Spazih te i tvoj pogled mio ozari svaki damar moj; svim srcem svojim tvoj sam bio, svakim sam dahom bio tvoj. Prolećni rumen ćuv je lako obavijao tebe svu, pa nežnost za me – Bože! Kako, čime zaslužih sreću tu? Al’, avaj! mlado sunce sinu, rastanak srce steže tad: u poljupcu ti pih milinu, u oku tvome čitah jad! Ja podjoh; vlažan, bolom skoljen, pratio me pogled tvoj: pa ipak, sreće biti voljen, sreće voleti, Bože moj! ","Ljubavna poezija"
"Sva čežnja, milošta, moj glas, čim si preda mnom, Remeti ćutanje u noćnom času tamnom. Kraj moje postelje, pri neveseloj sveći, Promiču stihovi sliveni, žuboreći- Bujice ljubavi što, pune tebe, huje. Blistavi pogled tvoj s osmehom znanim tu je, Za mene sija on. I čujem sad, u tmini: -Moj mili – tvoja sam – da, tvoja sam, jedini. ","Ljubavna poezija"
"Za ženu priznajem samo kurvu Poštene nek se ne naljute, Jer zbog njih izgubih svu radost svoju, Zbog njih izgubih svoje pute. Kurva mi dade sve što joj tražih Sve slasti jedne žene I nikad ne pokuša da mi ukrade Ni delić uspomene Uvek je volela da me nađe Okružena čašama vina I nikad ne pokuša da se snađe Da bi sa mnom dobila sina Za ženu priznajem samo kurvu, poštene neka se ne naljute… ","Ljubavna poezija"
"Kakva noć! Ne mogu ništa. Ne spava mi se. Nebo mesec guši. Pa, zar ja čuvam išta od potrošene mladosti u duši. Drugarice godina koje već hlad znače, ne zovi na igru ljubavi u seni. Bolje neka svetlost mesečeva plače i na uzglavlje struji prema meni. Neka izražene crte kiti i uobličava kad se seti. Jer, nećeš moći odljubiti ko što nisi znala zavoleti. Ne može se voleti toliko puta. Zato si mi tuđa ko i mnoge. Uzalud nas menjaju lipe s puta i u smetove polažu noge. Ti znaš kao i ja da u odlasku mesečine na tim lipama ne izbija cvet već samo sneg i inje. Odljubili smo se i ne guši mene ništa – al’ tebe čupa. I svejedno nam sad u duši kad igra ljubavi nije skupa. Al’ ipak mazi, grli, peva. Lukav i strasan poljubac voli. Neka u srcu mom uvek sneva ta koja zauvek voli. ","Ljubavna poezija"
"Reci mi, je li sve to istina, dragane, reci mi je li sve to istina? Kad ove oči sipaju munje, tamni oblaci u grudima tvojim odgovaraju burom. Je li istina da su moje usne slatke kao razvijeni pupoljak prve ljubavi? Oklijevaju li uspomene minulih majskih noći u mojim udovima? Treperi li zemlja, kao harfa u pjesmama, kad je moja stopala dodirnu? Je li istina kako iz očiju noći kaplje rosa kada se pokažem i da se zora veseli kada obavije moje tijelo? Je li istina, je li istina kako je tvoja tvoja ljubav lutala kroz vjekove i svjetove tražeći baš mene? I kad si me našao, kako je tvoja duga čežnja našla svoje krajnje spokojstvo u mom nježnom govoru, toplom zagrljaju, u mojim očima i usnama, u mojoj bujnoj kosi? Je li istina da je tajna beskonačnosti ispisana na mom malom i dragom čelu? Reci mi, dragane, je li sve to istina? ","Ljubavna poezija"
"Patio sam više nego iko dok se nisam na nevolje sviko patio sam nije bilo lako onda sam se sredio nekako. Možete li zamisliti mene kako patim zbog obične žene kako trčim i nosim joj cveće kako molim a ona me neće Uzeo sam koliko je dala poljubio i rekao hvala Opet vidim crno mi se piše jer sad patim što ne patim više. ","Ljubavna poezija"
"Neću više da se igram toga Nešto mi je drugo na pameti Čini nešto od života svoga Budi jača pa mi se osveti Dosjeti se svake moje mane Svega žto si nekad znala kleti Naljuti se kad pomisliš na me Budi jača pa mi se osveti Zaboravi da te volim žarom Od koga se može umrijeti Obraduj me samo jednim darom Budi jača pa mi se osveti ","Ljubavna poezija"
"Ona ide u svetlu lepote Ko noć blaga u zvezdanom sjaju. Sve što ima u svetu krasote: Svetlog, tamnog – njene oči daju Sve nežnosti, i divote s njima, Što dan blistav ne može da ima. Ni zrak manje, ni ti više sama Sen u valu crnih joj vitica Il u skladu loknica, il prama Što se spušta preko njenog lica, Preko čela, gde čedne, spokojne Misli – svoga mesta su dostojne Na tom licu koje ozarava Srećni osmeh večite vedrine; Gde dobrotom svakog očarava Mirni odsjaj večite vrline, Na tome se divnom licu čita Ljubav – mirna, nevina i večita. ","Ljubavna poezija"
"Kad jutros, jedva krijući zlobu i u klopku me navodeći, Demon u moju uđe sobu, upita: “Da li mi možeš reći šta je od sviju lepih stvari kojim je oko zasenjeno, od crnih il’ rumenih čari što čine ljupko telo njeno, najslađe?“ – Ali duša reče Gnusniku: “Svaki deo greje isto, iz svakog melem teče i podjednako drago sve je.“ Ne znam kad me očarava, šta posebno me tu privlači. Ona me kao noć stišava I kao Osvit na me zrači; i saglasje je preveliko što njenim lepim telom vlada da obujmiti može iko sve sastojke tog divnog sklada. Preobražaj me tajni pleni, sva čula se u jedno sliše! Muzika struji dahom njenim, kao što njezin glas miriše! ","Ljubavna poezija"
"Bezbrižno i milo dete! Podigni vitice svoje! Kako si čupava strašno! Ah, tvoje usnice rujne, I strasno vatreno oko, i grudi sveže i bujne Vesele oko moje. Dodaj mi zlatni pehar! Iz očiju tvojih lane, Ja čitah strašnu povest, koje se mnogi još seća: Kad Bahus podiže vojsku na plodne indijske strane, Na zemlje mirisnog cveća, U vihorima strasti, sa divljom, pomamnom vikom, Skakaše bezumna vojska od ljudi, žena i zveri. I drevne indijske gore oglašavahu krikom Istoka bujne kćeri. Ciganče, tako mi Baha! I ja sam međ` njima bio! No ti mi objasni sada: šta činim ovo, i gdi sam? Ja vidim da sam pijan, iako – zašto bih krio? – Dirnuo pehar nisam. ","Ljubavna poezija"
"Kada smo razdvojeni tišinom i suzama, polovičnost nas pleni kroz godine, uzama: bledi tvoj obraz nag, poljubac tvoj je hladan; i to je veran znak mog svakodnevnog jada. Rosa jutra na mojim obrvama već sanja – upozorenjem boji sva moja osećanja. Zaveti ne postoje, a sav sjaj tvoj je plam: svud čujem ime tvoje i delim sav tvoj sram. Tvoje ime i pre se u uvu mome sklupča; k’o pretnja me protrese – zašto si tako ljupka? Tvoj znanci ne slute šta sve o tebi znam: ka tebi dugim putem dublje koračah sam. U tajni smo se sreli – u ćutnji i u seti, da l’ tvoje srce želi tog duha da se seti? Sretnem li te u ovim godinama od lutanja, kako da te oslovim? Suzama, zidom ćutanja. ","Ljubavna poezija"
"Kad rastasmo se tada uz muk i suza breme, a bol nam srca savlada, na vrlo dugo vreme, bled, hladan, obraz ti posta, ko led sam celov tvoj; a meni tek tuga osta kroz ceo život moj. Tog jutra rosu ledenu sred svog osetih čela ko hladnu strepnju jednu što obuze me cela. Ti skrši zavete svoje; sad mnogom pripadaš, znam; kad ime spomenu tvoje i mene samog je sram. O tebi priča svud bruji, za me posmrtno zvono; kroz srce jeza mi struji: što te ljubljaše oni? Ti nikome od tih ljudi ne beše tako znana; bol osta sred mojih grudi i večno živa rana. Mi sastasmo se tajno; sad tajno pamtim, smerno, što srce ti nehajno već presta biti verno. A sretnem li te kada kroz mnoga leta duga, moj pozdrav biće tada sav pusta, nema, tuga. ","Ljubavna poezija"
"Zbogom, zaboravi, ljutnju ostavi. A pisma spali, kao most. Nek se prekali tvoj put, da bude prav i prost. Kroz magle da se za tebe krase zvezdane šatre, i nade puke zgrejati ruke kraj tvoje vatre. Nek biju maćave, snegovi, kiše nek besni oganj što prene, da ti je u budućem sreće više nego kod mene. Nek bude ti jak i divan boj grudi što grme i slute. Srećan sam zbog onih što se na put tvoj, možda, upute. ","Ljubavna poezija"
"Nikada ne kažeš reč koju bi trebalo. Da te ne bih ocenio, izmičeš mi na hiljadu strana. Da te ne bih pomešao s mnogima, stojiš odvojeno. Poznajem, poznajem lukavstvo tvoje… nikada ne ideš putem kojim bi trebalo. Tvoj prohtev veći je od prohteva drugih, zato ćutiš. Pritvornom ravnodušnošću ne haješ za moje darove. Poznajem, poznajem lukavstvo tvoje… nikada ne uzimaš što bi trebalo. ","Ljubavna poezija"
"O ljubavi su pričali mnogo oko stola čajnog. Gospoda s gledišta estetskoga, a dame s osećajnog. Ljubav platonska nek je, mršav savetnik reče tako. Žena mu se ironično smeška al’ ipak uzdiše lako. Kanonik bobonji: Odveć gruba ljubav po zdravlje je štetna. Kako to valja shvatiti? – šapće frajlica maloletna. Grofica setno govori: Ljubav proždire, strast je ona! Pa ljubazno nudi šoljom čaja gospodina barona. Za stolom još jedno beše mestašce, al’ tebe tu nije bilo. Ti bi o ljubavi znala, draga, da pričaš divno i milo. ","Ljubavna poezija"
"Otrovane su mi pesme. Da l’ drukčije može biti? U moj život, kad je cvao, Počela si otrov liti. Otrovane su mi pesme. Da l’ drukčije može biti? Srce mi je puno zmija. A uz to si u njem i ti. ","Ljubavna poezija"
"Trepere žute krošnje I lišće pada na tle; Sve što je ljupko i drago Prolazi, vene, mre. Svrh krošnji gaja svetluca Zrak sučev bolan, žut; To leto na odlasku Ljubi ga poslednji put. A meni tada dođe Da plačem u sav glas; Ta slika snova me seća Na našeg rastanka čas. Rastah se s tobom a znadoh Da ti se bliži kraj; Beh leto na odlasku, Ti beše bolni gaj. ","Ljubavna poezija"
"Jedna se odroni zvezda sa svoje visine jasne! Ono je ljubavi zvezda Što tamo pada i gasne. Sa jabukova stabla padaju hrpe cveta, Vetri stižu i tim se Igraju, vesela leta. Labud ribnjakom kruži I peva, i pesma zvoni Sve tiše, i pevac beli, U grob vodeni roni. Sve je nemo i mračno! Cvet je razduvan ceo, Zgasla je zvezda i s pesmom Poton’o labud beo. ","Ljubavna poezija"
"Danas, draga, reci meni: nisi l’ možda lik iz snova što ga sparnih letnjih dana rodi mašta pesnikova? Ali ne, ustašca takva, takvu čar što okom gori, tako milo, slatko čedo – pesnik ne zna to da stvori. Baziliske i vampire, gadne akrepe i guje, takve nemani iz bajke žar pesnikov oblikuje. Ali tebe, podlost tvoju, lik što milim sjajem gori, i taj lažljiv pogled smerni – pesnik ne zna to da stvori. ","Ljubavna poezija"
"Baš prekrasan je bio maj I sva je narav cvala, Kad u mome je srcu I ljubav prolistala. Baš prekrasan je bio maj, Sve ptičice kad poju. Tad priznao sam njoj Svu čežnju, žudnju svoju. ","Ljubavna poezija"
"U po noći preveseljke, sa netrenke gerevenke, zagrejan se digoh doma. Na ulici nema sveta, samo što po snegu šeta jedna moma. Odelo je snežno, belo, na brežne joj palo grudi, sneg od jeda čisto studi; uzalud mu Mesečina svetlo čelo živo ljubi, on škripuće beli zubi, gledajući kako strukom, kako belom, mekom rukom, kako malom, lakom nogom, a kamo li licem, okom, ta ponoćna divna java1 Mesečinu nadasjava. Kad sne, škripi zubma belim, a da šta ću ja da velim, u po noći preveseljke, sa netrenke terevenke? „Gospođice, dobro veče!“ Želja moja curi reče: „Na toj zimi, lele meni, Tako lako odeveni! Evo moje šube crne da vas malo zaogrne!“ — Dotaknuh se, zagrlih je, ma’nito mi srce bije, u žestini i zanosu već osećam bujnu kosu što se po mom licu prosu, mirisi mi obasuše svak’ zadisak2 željne duše. Zagrli me, dah mi stesni; al’ očiju pogled njez’ni’ nagon uzda, zanos trezni; iz njega mi mis’o sine: „Majko!“ — „Sine!“ odzovu se usta njena, a iz belih, iz ramena ponikoše bela krila: to je bila — moja vila. — Lepirica kao bela kad bi sobom cvet ponela da ga visa spase velja od zemljina, od uvelja3: tako vila pone mene u prostore vaseljenje; te nebeskom lik4 lepiru leti s cvetom po svemiru, po sve širu, po sve etiru. * * * Iza sna se teškog prenu’. Mrak je. Gde sam? — Al’ na tremu muklim tutnjom odgovara šetalica gluhog doba, navila je kivna zloba, te se nikad ne odmara: koračanje mog stražara. Al’ me ljuto boli glava — posle onih svetlih snova, onih divnih vitezova, onih slika, onih slava — ova java! Nemojte me pitat’ sade, da vam pričam stare jade, stare jade, nove nade, što ih naša zvezda znade; već pođite do javora, pobratima onog bora, što ga stuži i sasuši neiskazom veljih muka Kosovkina bela ruka, te je njemu ruka mala grdne jade zaveštala; a kad guslar po njim gudi, iz javora jade budi, iz tamnice jadi lete da se braća jada sete, da se sete, da ih svete! — Ja vam ne znam reći više, da što knjiga ova piše, dok ne prođe ova java, što mi sada dodijava, te se mojih snova setim, il’ dok opet — ne poletim. ","Ljubavna poezija"
"Mirišem cveće snega, ja sočim trave mlade i ne ištem zrelih kiša materinje sise. Ja bitke zmija i lignji gledam: ljubav rade: iz mečke ris izvlači teških žena obrise. Ja — golobrado mleko, ja — gibak, ja — šilježe, usta su mi slatka kada me dan iz sna baci među sene i njenim nogama skoči sa sveže postelje vičući: — Lišću je dobro, zemljaci! Gube se u prangumi neba zadriglog stabla. Koren je srca — sunčan; drugi je razlog tugi. Ja sam bikovski vrat, ja — iz njeg sevnula sablja, do balčaka zariven u sve boje dugi. Čekam, ja — uzidan, ja — nagli, ja — rekalija, u jarmu svog temelja podmetnut planinama. Izvučem li vrat užasni svetu iz kapija, oblak mi nije avlija, gde ti sediš pod jabukom. Često, vrlo sama. ","Misaono - refleksivna poezija"
"S čežnjom ti priđoh da ponizan te molim, al` zanosu mom smejala si se i moja ljubav za tebe samo igra beše. Sad umorna i zasićena, dok tužne gledaju me tvoje oči pune strepnje, onu ljubav kojom davno goreo sam, ti bi htela. Avaj, od nje davno pepeo posta, zaiskriti neće, ona jednom tvoja beše, sad je pusti da počiva sama. ","Ljubavna poezija"
